Order ID,Order Date,Customer ID,Customer Name,Address,City,State,ZIP/Postal Code,Country/Region,Salesperson,Region,Shipped Date,Shipper Name,Ship Name,Ship Address,Ship City,Ship State,Ship ZIP/Postal Code,Ship Country/Region,Payment Type,Product Name,Category,Unit Price,Quantity,Revenue,Shipping Fee
1047,3/1/2014,29,Company CC,789 29th Street,Denver,CO,99999,USA,Jan Kotas,West,3/3/2014,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,Check,Fruit Cocktail,Fruit & Veg,39,26,"$1,014.00 ",$106.47 
1079,3/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,Shipping Company C,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Crab Meat,Canned Meat,18.4,75,"$1,380.00 ",$138.00 
1070,3/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,3/5/2014,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Syrup,Condiments,10,48,$480.00 ,$48.00 
1071,3/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,3/5/2014,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Curry Sauce,Sauces,40,71,"$2,840.00 ",$295.36 
1064,3/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,3/6/2014,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Marmalade,"Jams, Preserves",$81.00 ,77,"$6,237.00 ",$642.41 
1065,3/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,3/6/2014,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Long Grain Rice,Grains,7,37,$259.00 ,$24.61 
1054,3/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,3/8/2014,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Credit Card,Beer,Beverages,$14.00 ,53,$742.00 ,$71.97 
1062,3/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,3/8/2014,Shipping Company C,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Check,Chocolate,Candy,$12.75 ,16,$204.00 ,$20.20 
1055,3/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,3/10/2014,Shipping Company B,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Check,Curry Sauce,Sauces,$40.00 ,85,"$3,400.00 ",$357.00 
1056,3/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,3/10/2014,Shipping Company B,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Check,Chocolate Biscuits Mix,Baked Goods & Mixes,$9.20 ,97,$892.40 ,$91.02 
1067,3/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,3/10/2014,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Credit Card,Mozzarella,Dairy Products,34.8,63,"$2,192.40 ",$217.05 
1052,3/9/2014,9,Company I,123 9th Street,Salt Lake City,UT,99999,USA,Robert Zare,West,,Shipping Company A,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,Check,Ravioli,Pasta,19.5,55,"$1,072.50 ",$108.32 
1053,3/9/2014,9,Company I,123 9th Street,Salt Lake City,UT,99999,USA,Robert Zare,West,3/11/2014,Shipping Company A,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,Check,Mozzarella,Dairy Products,$34.80 ,11,$382.80 ,$36.75 
1075,3/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,3/12/2014,Shipping Company B,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,Credit Card,Almonds,Dried Fruit & Nuts,10,55,$550.00 ,$55.00 
1077,3/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,,Dried Plums,Dried Fruit & Nuts,3.5,21,$73.50 ,$7.35 
1078,3/11/2014,11,Company K,123 11th Street,Miami,FL,99999,USA,Anne Larsen,South,,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,,Curry Sauce,Sauces,40,67,"$2,680.00 ",$270.68 
1057,3/25/2014,25,Company Y,789 25th Street,Chicago,IL,99999,USA,Laura Giussani,East,3/27/2014,Shipping Company A,John Rodman,789 25th Street,Chicago,IL,99999,USA,Cash,Scones,Baked Goods & Mixes,$10.00 ,46,$460.00 ,$46.46 
1058,3/26/2014,26,Company Z,789 26th Street,Miami,FL,99999,USA,Anne Larsen,South,3/28/2014,Shipping Company C,Run Liu,789 26th Street,Miami,FL,99999,USA,Credit Card,Olive Oil,Oil,$21.35 ,97,"$2,070.95 ",$196.74 
1059,3/26/2014,26,Company Z,789 26th Street,Miami,FL,99999,USA,Anne Larsen,South,3/28/2014,Shipping Company C,Run Liu,789 26th Street,Miami,FL,99999,USA,Credit Card,Clam Chowder,Soups,$9.65 ,97,$936.05 ,$95.48 
1060,3/26/2014,26,Company Z,789 26th Street,Miami,FL,99999,USA,Anne Larsen,South,3/28/2014,Shipping Company C,Run Liu,789 26th Street,Miami,FL,99999,USA,Credit Card,Crab Meat,Canned Meat,$18.40 ,65,"$1,196.00 ",$123.19 
1080,3/28/2014,28,Company BB,789 28th Street,Memphis,TN,99999,USA,Anne Larsen,South,3/30/2014,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,Credit Card,Coffee,Beverages,46,17,$782.00 ,$80.55 
1061,3/29/2014,29,Company CC,789 29th Street,Denver,CO,99999,USA,Jan Kotas,West,3/31/2014,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,Check,Beer,Beverages,$14.00 ,72,"$1,008.00 ",$100.80 
