Order ID,Order Date,Customer ID,Customer Name,Address,City,State,ZIP/Postal Code,Country/Region,Salesperson,Region,Shipped Date,Shipper Name,Ship Name,Ship Address,Ship City,Ship State,Ship ZIP/Postal Code,Ship Country/Region,Payment Type,Product Name,Category,Unit Price,Quantity,Revenue,Shipping Fee
1098,4/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Chai,Beverages,$18.00 ,55,$990.00 ,$97.02 
1087,4/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Clam Chowder,Soups,9.65,95,$916.75 ,$91.68 
1081,4/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,4/6/2014,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Dried Plums,Dried Fruit & Nuts,3.5,48,$168.00 ,$16.30 
1085,4/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,,Shipping Company C,Christina Lee,123 4th Street,New York,NY,99999,USA,Check,Chocolate Biscuits Mix,Baked Goods & Mixes,9.2,62,$570.40 ,$58.75 
1088,4/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Credit Card,Curry Sauce,Sauces,40,17,$680.00 ,$68.68 
1092,4/7/2014,7,Company G,123 7th Street,Boise,ID,99999,USA,Nancy Freehafer,North,,,Ming-Yang Xie,123 7th Street,Boise,ID,99999,USA,,Coffee,Beverages,$46.00 ,59,"$2,714.00 ",$284.97 
1084,4/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,4/10/2014,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Credit Card,Chocolate Biscuits Mix,Baked Goods & Mixes,9.2,12,$110.40 ,$11.37 
1090,4/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,4/10/2014,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Check,Chocolate,Candy,$12.75 ,83,"$1,058.25 ",$102.65 
1091,4/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,4/12/2014,Shipping Company B,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,Credit Card,Green Tea,Beverages,$2.99 ,88,$263.12 ,$26.05 
1093,4/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,4/12/2014,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,,Boysenberry Spread,"Jams, Preserves",$25.00 ,27,$675.00 ,$68.85 
1094,4/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,4/12/2014,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,,Cajun Seasoning,Condiments,$22.00 ,37,$814.00 ,$85.47 
1095,4/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,4/12/2014,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,,Chocolate Biscuits Mix,Baked Goods & Mixes,$9.20 ,75,$690.00 ,$69.00 
1096,4/11/2014,11,Company K,123 11th Street,Miami,FL,99999,USA,Anne Larsen,South,,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,,Dried Plums,Dried Fruit & Nuts,$3.50 ,71,$248.50 ,$24.10 
1097,4/11/2014,11,Company K,123 11th Street,Miami,FL,99999,USA,Anne Larsen,South,,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,,Green Tea,Beverages,$2.99 ,88,$263.12 ,$26.05 
1082,4/12/2014,12,Company L,123 12th Street,Las Vegas,NV,99999,USA,Mariya Sergienko,West,4/14/2014,Shipping Company B,John Edwards,123 12th Street,Las Vegas,NV,99999,USA,Credit Card,Chai,Beverages,18,74,"$1,332.00 ",$137.20 
1083,4/12/2014,12,Company L,123 12th Street,Las Vegas,NV,99999,USA,Mariya Sergienko,West,4/14/2014,Shipping Company B,John Edwards,123 12th Street,Las Vegas,NV,99999,USA,Credit Card,Coffee,Beverages,46,96,"$4,416.00 ",$428.35 
1089,4/28/2014,28,Company BB,789 28th Street,Memphis,TN,99999,USA,Anne Larsen,South,4/30/2014,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,Check,Coffee,Beverages,46,96,"$4,416.00 ",$463.68 
1086,4/29/2014,29,Company CC,789 29th Street,Denver,CO,99999,USA,Jan Kotas,West,,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,Check,Chocolate,Candy,12.75,35,$446.25 ,$45.96 
