Order ID,Order Date,Customer ID,Customer Name,Address,City,State,ZIP/Postal Code,Country/Region,Salesperson,Region,Shipped Date,Shipper Name,Ship Name,Ship Address,Ship City,Ship State,Ship ZIP/Postal Code,Ship Country/Region,Payment Type,Product Name,Category,Unit Price,Quantity,Revenue,Shipping Fee
1111,5/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Chai,Beverages,$18.00 ,29,$522.00 ,$52.72 
1112,5/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Coffee,Beverages,$46.00 ,77,"$3,542.00 ",$368.37 
1113,5/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Green Tea,Beverages,$2.99 ,73,$218.27 ,$21.83 
1100,5/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,5/5/2014,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Clam Chowder,Soups,$9.65 ,43,$414.95 ,$42.32 
1134,5/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,5/5/2014,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Syrup,Condiments,$10.00 ,82,$820.00 ,$85.28 
1135,5/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,5/5/2014,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Curry Sauce,Sauces,$40.00 ,98,"$3,920.00 ",$411.60 
1128,5/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,5/6/2014,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Marmalade,"Jams, Preserves",$81.00 ,23,"$1,863.00 ",$195.62 
1129,5/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,5/6/2014,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Long Grain Rice,Grains,$7.00 ,72,$504.00 ,$51.91 
1101,5/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Credit Card,Curry Sauce,Sauces,$40.00 ,63,"$2,520.00 ",$254.52 
1118,5/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Credit Card,Beer,Beverages,$14.00 ,84,"$1,176.00 ",$112.90 
1126,5/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,5/8/2014,Shipping Company C,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Check,Chocolate,Candy,$12.75 ,19,$242.25 ,$24.47 
1105,5/7/2014,7,Company G,123 7th Street,Boise,ID,99999,USA,Nancy Freehafer,North,,,Ming-Yang Xie,123 7th Street,Boise,ID,99999,USA,,Coffee,Beverages,$46.00 ,31,"$1,426.00 ",$136.90 
1103,5/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,5/10/2014,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Check,Chocolate,Candy,$12.75 ,41,$522.75 ,$54.37 
1119,5/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,,Shipping Company B,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Check,Curry Sauce,Sauces,$40.00 ,73,"$2,920.00 ",$283.24 
1120,5/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,,Shipping Company B,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Check,Chocolate Biscuits Mix,Baked Goods & Mixes,$9.20 ,51,$469.20 ,$44.57 
1131,5/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,5/10/2014,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Credit Card,Mozzarella,Dairy Products,$34.80 ,22,$765.60 ,$75.03 
1116,5/9/2014,9,Company I,123 9th Street,Salt Lake City,UT,99999,USA,Robert Zare,West,5/11/2014,Shipping Company A,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,Check,Ravioli,Pasta,$19.50 ,82,"$1,599.00 ",$153.50 
1117,5/9/2014,9,Company I,123 9th Street,Salt Lake City,UT,99999,USA,Robert Zare,West,5/11/2014,Shipping Company A,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,Check,Mozzarella,Dairy Products,$34.80 ,37,"$1,287.60 ",$132.62 
1104,5/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,5/12/2014,Shipping Company B,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,Credit Card,Green Tea,Beverages,$2.99 ,35,$104.65 ,$10.26 
1106,5/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,,Boysenberry Spread,"Jams, Preserves",$25.00 ,52,"$1,300.00 ",$123.50 
1107,5/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,,Cajun Seasoning,Condiments,$22.00 ,30,$660.00 ,$67.32 
1108,5/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,5/12/2014,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,,Chocolate Biscuits Mix,Baked Goods & Mixes,$9.20 ,41,$377.20 ,$38.47 
1109,5/11/2014,11,Company K,123 11th Street,Miami,FL,99999,USA,Anne Larsen,South,,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,,Dried Plums,Dried Fruit & Nuts,$3.50 ,44,$154.00 ,$15.25 
1110,5/11/2014,11,Company K,123 11th Street,Miami,FL,99999,USA,Anne Larsen,South,,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,,Green Tea,Beverages,$2.99 ,77,$230.23 ,$23.02 
1121,5/25/2014,25,Company Y,789 25th Street,Chicago,IL,99999,USA,Laura Giussani,East,,Shipping Company A,John Rodman,789 25th Street,Chicago,IL,99999,USA,Cash,Scones,Baked Goods & Mixes,$10.00 ,66,$660.00 ,$68.64 
1122,5/26/2014,26,Company Z,789 26th Street,Miami,FL,99999,USA,Anne Larsen,South,,Shipping Company C,Run Liu,789 26th Street,Miami,FL,99999,USA,Credit Card,Olive Oil,Oil,$21.35 ,36,$768.60 ,$74.55 
1123,5/26/2014,26,Company Z,789 26th Street,Miami,FL,99999,USA,Anne Larsen,South,5/28/2014,Shipping Company C,Run Liu,789 26th Street,Miami,FL,99999,USA,Credit Card,Clam Chowder,Soups,$9.65 ,87,$839.55 ,$87.31 
1124,5/26/2014,26,Company Z,789 26th Street,Miami,FL,99999,USA,Anne Larsen,South,5/28/2014,Shipping Company C,Run Liu,789 26th Street,Miami,FL,99999,USA,Credit Card,Crab Meat,Canned Meat,$18.40 ,64,"$1,177.60 ",$115.40 
1102,5/28/2014,28,Company BB,789 28th Street,Memphis,TN,99999,USA,Anne Larsen,South,5/30/2014,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,Check,Coffee,Beverages,$46.00 ,36,"$1,656.00 ",$165.60 
