Order ID,Order Date,Customer ID,Customer Name,Address,City,State,ZIP/Postal Code,Country/Region,Salesperson,Region,Shipped Date,Shipper Name,Ship Name,Ship Address,Ship City,Ship State,Ship ZIP/Postal Code,Ship Country/Region,Payment Type,Product Name,Category,Unit Price,Quantity,Revenue,Shipping Fee
1253,9/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Chai,Beverages,18,58,"$1,044.00 ",$103.36 
1254,9/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Coffee,Beverages,$46.00 ,97,"$4,462.00 ",$464.05 
1255,9/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Green Tea,Beverages,$2.99 ,14,$41.86 ,$4.35 
1276,9/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,9/5/2014,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Syrup,Condiments,$10.00 ,71,$710.00 ,$73.13 
1277,9/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,9/5/2014,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Curry Sauce,Sauces,$40.00 ,88,"$3,520.00 ",$366.08 
1270,9/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,9/6/2014,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Marmalade,"Jams, Preserves",$81.00 ,54,"$4,374.00 ",$437.40 
1271,9/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,9/6/2014,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Long Grain Rice,Grains,$7.00 ,39,$273.00 ,$27.30 
1260,9/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,9/8/2014,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Credit Card,Beer,Beverages,$14.00 ,67,$938.00 ,$98.49 
1268,9/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,9/8/2014,Shipping Company C,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Check,Chocolate,Candy,$12.75 ,96,"$1,224.00 ",$119.95 
1261,9/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,,Shipping Company B,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Check,Curry Sauce,Sauces,$40.00 ,48,"$1,920.00 ",$188.16 
