Order ID,Order Date,Customer ID,Customer Name,Address,City,State,ZIP/Postal Code,Country/Region,Salesperson,Region,Shipped Date,Shipper Name,Ship Name,Ship Address,Ship City,Ship State,Ship ZIP/Postal Code,Ship Country/Region,Payment Type,Product Name,Category,Unit Price,Quantity,Revenue,Shipping Fee
1144,6/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Chai,Beverages,18,33,$594.00 ,$58.21 
1145,6/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Coffee,Beverages,46,22,"$1,012.00 ",$101.20 
1146,6/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Green Tea,Beverages,2.99,51,$152.49 ,$14.94 
1176,6/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,Shipping Company C,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Crab Meat,Canned Meat,$18.40 ,71,"$1,306.40 ",$137.17 
1167,6/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,6/5/2014,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Syrup,Condiments,$10.00 ,24,$240.00 ,$25.20 
1168,6/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,6/5/2014,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Curry Sauce,Sauces,$40.00 ,28,"$1,120.00 ",$109.76 
1187,6/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,,,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,,Green Tea,Beverages,2.99,88,$263.12 ,$25.52 
1161,6/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Marmalade,"Jams, Preserves",$81.00 ,98,"$7,938.00 ",$769.99 
1162,6/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Long Grain Rice,Grains,$7.00 ,61,$427.00 ,$42.27 
1186,6/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,,,Christina Lee,123 4th Street,New York,NY,99999,USA,,Gnocchi,Pasta,38,85,"$3,230.00 ",$319.77 
