Order ID,Order Date,Customer ID,Customer Name,Address,City,State,ZIP/Postal Code,Country/Region,Salesperson,Region,Shipped Date,Shipper Name,Ship Name,Ship Address,Ship City,Ship State,Ship ZIP/Postal Code,Ship Country/Region,Payment Type,Product Name,Category,Unit Price,Quantity,Revenue,Shipping Fee
1231,8/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Chai,Beverages,$18.00 ,91,"$1,638.00 ",$158.89 
1232,8/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Coffee,Beverages,$46.00 ,14,$644.00 ,$63.76 
1233,8/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Green Tea,Beverages,2.99,44,$131.56 ,$13.29 
1248,8/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Marmalade,"Jams, Preserves",81,32,"$2,592.00 ",$251.42 
1249,8/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Long Grain Rice,Grains,7,76,$532.00 ,$53.73 
1238,8/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,8/8/2014,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Credit Card,Beer,Beverages,14,52,$728.00 ,$72.80 
1246,8/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,,Shipping Company C,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Check,Chocolate,Candy,12.75,72,$918.00 ,$89.05 
1225,8/7/2014,7,Company G,123 7th Street,Boise,ID,99999,USA,Nancy Freehafer,North,,,Ming-Yang Xie,123 7th Street,Boise,ID,99999,USA,,Coffee,Beverages,$46.00 ,86,"$3,956.00 ",$399.56 
1223,8/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,8/10/2014,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Check,Chocolate,Candy,$12.75 ,57,$726.75 ,$69.77 
1239,8/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,8/10/2014,Shipping Company B,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Check,Curry Sauce,Sauces,40,78,"$3,120.00 ",$318.24 
1240,8/8/2014,8,Company H,123 8th Street,Portland,OR,99999,USA,Nancy Freehafer,North,8/10/2014,Shipping Company B,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,Check,Chocolate Biscuits Mix,Baked Goods & Mixes,9.2,54,$496.80 ,$49.18 
1236,8/9/2014,9,Company I,123 9th Street,Salt Lake City,UT,99999,USA,Robert Zare,West,8/11/2014,Shipping Company A,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,Check,Ravioli,Pasta,19.5,66,"$1,287.00 ",$132.56 
1237,8/9/2014,9,Company I,123 9th Street,Salt Lake City,UT,99999,USA,Robert Zare,West,8/11/2014,Shipping Company A,Sven Mortensen,123 9th Street,Salt Lake City,UT,99999,USA,Check,Mozzarella,Dairy Products,34.8,32,"$1,113.60 ",$111.36 
1224,8/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,8/12/2014,Shipping Company B,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,Credit Card,Green Tea,Beverages,$2.99 ,23,$68.77 ,$6.67 
1226,8/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,8/12/2014,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,,Boysenberry Spread,"Jams, Preserves",$25.00 ,47,"$1,175.00 ",$116.33 
1227,8/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,8/12/2014,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,,Cajun Seasoning,Condiments,$22.00 ,97,"$2,134.00 ",$221.94 
1228,8/10/2014,10,Company J,123 10th Street,Chicago,IL,99999,USA,Laura Giussani,East,8/12/2014,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,,Chocolate Biscuits Mix,Baked Goods & Mixes,$9.20 ,96,$883.20 ,$86.55 
1229,8/11/2014,11,Company K,123 11th Street,Miami,FL,99999,USA,Anne Larsen,South,,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,,Dried Plums,Dried Fruit & Nuts,$3.50 ,31,$108.50 ,$10.85 
1230,8/11/2014,11,Company K,123 11th Street,Miami,FL,99999,USA,Anne Larsen,South,,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,,Green Tea,Beverages,$2.99 ,52,$155.48 ,$16.01 
1241,8/25/2014,25,Company Y,789 25th Street,Chicago,IL,99999,USA,Laura Giussani,East,8/27/2014,Shipping Company A,John Rodman,789 25th Street,Chicago,IL,99999,USA,Cash,Scones,Baked Goods & Mixes,10,55,$550.00 ,$52.25 
1242,8/26/2014,26,Company Z,789 26th Street,Miami,FL,99999,USA,Anne Larsen,South,8/28/2014,Shipping Company C,Run Liu,789 26th Street,Miami,FL,99999,USA,Credit Card,Olive Oil,Oil,21.35,60,"$1,281.00 ",$129.38 
1243,8/26/2014,26,Company Z,789 26th Street,Miami,FL,99999,USA,Anne Larsen,South,8/28/2014,Shipping Company C,Run Liu,789 26th Street,Miami,FL,99999,USA,Credit Card,Clam Chowder,Soups,9.65,19,$183.35 ,$17.42 
1244,8/26/2014,26,Company Z,789 26th Street,Miami,FL,99999,USA,Anne Larsen,South,8/28/2014,Shipping Company C,Run Liu,789 26th Street,Miami,FL,99999,USA,Credit Card,Crab Meat,Canned Meat,18.4,66,"$1,214.40 ",$125.08 
1222,8/28/2014,28,Company BB,789 28th Street,Memphis,TN,99999,USA,Anne Larsen,South,8/30/2014,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,Check,Coffee,Beverages,$46.00 ,28,"$1,288.00 ",$133.95 
1234,8/28/2014,28,Company BB,789 28th Street,Memphis,TN,99999,USA,Anne Larsen,South,8/30/2014,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,Credit Card,Clam Chowder,Soups,9.65,97,$936.05 ,$95.48 
1235,8/28/2014,28,Company BB,789 28th Street,Memphis,TN,99999,USA,Anne Larsen,South,8/30/2014,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,Credit Card,Crab Meat,Canned Meat,18.4,80,"$1,472.00 ",$150.14 
1245,8/29/2014,29,Company CC,789 29th Street,Denver,CO,99999,USA,Jan Kotas,West,8/31/2014,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,Check,Beer,Beverages,14,42,$588.00 ,$59.39 
