Order ID,Order Date,Customer ID,Customer Name,Address,City,State,ZIP/Postal Code,Country/Region,Salesperson,Region,Shipped Date,Shipper Name,Ship Name,Ship Address,Ship City,Ship State,Ship ZIP/Postal Code,Ship Country/Region,Payment Type,Product Name,Category,Unit Price,Quantity,Revenue,Shipping Fee
1292,10/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Chai,Beverages,$18.00 ,22,$396.00 ,$38.02 
1293,10/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Coffee,Beverages,$46.00 ,73,"$3,358.00 ",$339.16 
1294,10/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Green Tea,Beverages,$2.99 ,85,$254.15 ,$24.65 
1324,10/1/2014,1,Company A,123 1st Street,Seattle,WA,99999,USA,Nancy Freehafer,North,,Shipping Company C,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,,Crab Meat,Canned Meat,18.4,23,$423.20 ,$43.59 
1315,10/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,10/5/2014,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Syrup,Condiments,10,11,$110.00 ,$11.44 
1316,10/3/2014,3,Company C,123 3rd Street,Los Angelas,CA,99999,USA,Mariya Sergienko,West,10/5/2014,Shipping Company B,Thomas Axerr,123 3rd Street,Los Angelas,CA,99999,USA,Cash,Curry Sauce,Sauces,40,91,"$3,640.00 ",$364.00 
1309,10/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,10/6/2014,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Marmalade,"Jams, Preserves",81,82,"$6,642.00 ",$697.41 
1310,10/4/2014,4,Company D,123 4th Street,New York,NY,99999,USA,Andrew Cencini,East,10/6/2014,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,Credit Card,Long Grain Rice,Grains,7,29,$203.00 ,$20.30 
1282,10/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,10/8/2014,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Credit Card,Curry Sauce,Sauces,$40.00 ,94,"$3,760.00 ",$376.00 
1299,10/6/2014,6,Company F,123 6th Street,Milwaukee,WI,99999,USA,Michael Neipper,North,10/8/2014,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,Credit Card,Beer,Beverages,$14.00 ,98,"$1,372.00 ",$138.57 
